What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Other Europe,,30-34,11,Other,"Fortune 1000 (1,000+)",Systems Analyst,Influencer,Recommender,,,,,,,Servers,Software,,Consultants,,Don't know,Enterprise,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,,,,Windows 7,I enjoy going to work,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,,,,Wii,,,,,,<$100,Agree,Agree,Agree,Neutral,Disagree,Neutral,Internal Stack ads,500,Stack Overflow,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,40944,Consulting,"Other (not working, consultant, etc.)",IT Staff / System Administrator,,Recommender,,,,No Involvement,,,,,,,Other,Don't know,Enterprise,,,CSS,PHP,,,,,,,,,,,,Mac OS X,Its a paycheck,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,Xbox,,,,iPad,,,"$501-$1,000",Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,,500,Server Fault,
India,,25-29,40944,Web Services,Mid Sized (100-999),Web Application Developer,,,Approver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,35-39,11,Education,"Other (not working, consultant, etc.)",Other,Influencer,,,,,,,Hardware,,Software,,,,"$10,001 - $25,000",Other,Java,,,,,,,,,C++,,,,,,Mac OS X,Love my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,Wii,Other gaming system,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,none !,3000,Stack Overflow,
Russia,,20-24,<2,Software Products,Mid Sized (100-999),Other,,Recommender,,,,,,,,Software,,,Other,Don't know,Enterprise,,,CSS,,,,,,,,,,,,,Windows XP,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,iPad,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Neutral,Neutral,,Don't have an account,Stack Overflow,
Germany,,35-39,11,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$25,001 - $40,000",Web Platform,,JavaScript,,,,,,SQL,C#,C++,,,,,CListCtrl,Windows 7,Love my job,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,,,,iPad,,,"$501-$1,000",Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,,5000,Stack Overflow,
India,,20-24,<2,Software Products,Start Up (1-25),Embedded Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Mobile,Java,,,,,,,,,,,,,,,Windows XP,Love my job,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Agree,Agree,Agree,Neutral,Neutral,shirts,500,Stack Overflow,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,41070,Web Services,Start Up (1-25),Other,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,,PHP,Python,,Ruby,SQL,C#,C++,C,Perl,,,,Windows Vista,Its a paycheck,"$40,000 - $60,000",Yes,Yes,,,,,,,,,,,,,,,,,,Other gaming system,,,,,$251-$500,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,,2000,Stack Overflow,
Other Asia,,30-34,11,Web Services,Start Up (1-25),IT Manager,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,,,CSS,PHP,,,,SQL,,,,,,,"couchdb,javascript",Mac OS X,Love my job,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Area 51, a freaking cool rocket launcher",10000,Stack Overflow,
Canada,,25-29,<2,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Other,,,,,,,,,,C++,,,,,,Mac OS X,I wish I had a job!,Student / Unemployed,Yes,I'm not a programmer or IT person,,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,,500,Stack Overflow,
United States of America,Alaska,20-24,<2,Other,Mature Small Business (25-100),I don't work in tech,,,,,Check Writer,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,Other,Don't know,Other,,JavaScript,,PHP,,,,SQL,,,,,HTML5,,,Linux,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,<$100,Agree,Agree,Neutral,Neutral,Disagree,Neutral,NOne,200,Stack Overflow,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,California,20-24,40944,Education,Student,Student,,,,,,No Involvement,,,,,,,,,Other,Java,,,,,Objective-C,Ruby,,,C++,,,,,,Linux,I enjoy going to work,Student / Unemployed,Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,Xbox,Wii,,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,1000,Stack Overflow,
Middle East,,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,,Recommender,,,,,,Hardware,,Software,,,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,Windows 7,I'm not happy in my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Area 51  ASP.NET Controls,200,Stack Overflow,
United States of America,California,20-24,40944,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,SaaS,,JavaScript,,,,,Ruby,,,,,,,,,Linux,I'm not happy in my job,"$60,000 - $80,000",Yes,No thank you,Other (please specify),not ready to look for a new job,,Android,,,,,,,,,,,,Xbox,Wii,,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Agree,Neutral,,"microsoft, joyent",1,Stack Overflow,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,25-29,40944,Education,"Other (not working, consultant, etc.)",Other,Influencer,Recommender,Approver,Purchaser,,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",Web Platform,Java,,CSS,PHP,Python,,,SQL,C#,C++,C,,,,,Windows 7,Its a paycheck,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,Other media streaming device,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,,3000,Stack Overflow,
Other Europe,,20-24,<2,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Windows 7,I wish I had a job!,Student / Unemployed,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Agree,Agree,Strongly Disagree,for($i=0;$i<1000;$i++) echo 'Careers...<br />';,200,Stack Overflow,
India,,25-29,41070,Software Products,Mature Small Business (25-100),Embedded Application Developer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Mobile,Java,,,,,,,,C#,,,,,,,Mac OS X,Love my job,"$60,000 - $80,000",Yes,Yes,,,iPhone,Android,Blackberry,,,Regular Mobile Phone,,,,,,,,,,,,,,Symbian,"$1,001-$2,000",Agree,Neutral,Agree,Neutral,Neutral,Neutral,Stackoverflow store,5000,Stack Overflow,
United States of America,California,25-29,41070,Web Services,"Fortune 1000 (1,000+)",Server Programmer,,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,Java,,,,Python,,,SQL,,C++,C,Perl,,,,Linux,Love my job,">$140,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,Netbook,PS3,,,,,,Other tablet,,">$3,000",Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Agree,,1000,Stack Overflow,
United States of America,Iowa,30-34,11,Other,Start Up (1-25),Embedded Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Other,Java,,,,,,Ruby,SQL,C#,C++,,,,,,Linux,I enjoy going to work,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,Wii,,,,Other tablet,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,"I might view ads if I didn't have my ad blocker.  From what I know, they are unobtrusive on SO, but because they aren't on other places, I may never know.",200,Stack Overflow,
Australia,,35-39,11,Retail,Mature Small Business (25-100),IT Staff / System Administrator,Influencer,Recommender,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$25,001 - $40,000",Web Platform,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Windows 7,I'm not happy in my job,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,Other media streaming device,,,,Wii,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,,1,Other Stack Exchange (please specify),Parenting
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,"<$10,000",Enterprise,,,,,Python,,,,,,C,Perl,,,,Linux,Its a paycheck,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,3000,Stack Overflow,
Other Asia,,25-29,40944,Software Products,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,,C#,C++,C,,,,Action script,Windows XP,Love my job,"<$20,000",No,Yes,,,,,,Windows Phone,,,,,,,,,,,,,,,,,$100-$250,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,1000,Stack Overflow,
India,,30-34,41070,Web Services,"Other (not working, consultant, etc.)",Desktop Application Developer,,Recommender,,,,,,Hardware,Servers,Software,,,,"$25,001 - $40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,30-34,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,,JavaScript,,,Python,,,,,,,,HTML5,,,Linux,I'm not happy in my job,"$20,000 - $40,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,Wii,,,,,,$100-$250,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Agree,,1000,Stack Overflow,
Africa,,30-34,11,Software Products,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,Purchaser,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Web Platform,,JavaScript,CSS,,,,,SQL,,C++,,,,,ASP Classic,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,Xbox,,,,,,,$100-$250,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,,1000,Stack Overflow,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australasia,,30-34,<2,Web Services,"Fortune 1000 (1,000+)",IT Staff / System Administrator,Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Washington,35-39,11,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,West Virginia,30-34,11,Other,"Other (not working, consultant, etc.)",Web Application Developer,Influencer,,,,,,,,,Software,,,,Don't know,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,"$100,000 - $120,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,Kindle,,,,,,PS3,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,200,Stack Overflow,
Australia,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",SaaS,Java,JavaScript,CSS,PHP,,,Ruby,SQL,C#,,,,HTML5,,,Mac OS X,Love my job,"$100,000 - $120,000",Yes,Yes,,,iPhone,,,,,,Kindle,,,Boxee,,,,Xbox,,,,iPad,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Neutral,Disagree,,5000,Stack Overflow,
Other Asia,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,,Windows 7,I'm not happy in my job,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,iPod Touch,"$501-$1,000",Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,"Other stackexchange sites, SE shop",500,Stack Overflow,
Australia,,20-24,40944,Consulting,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",SaaS,Java,JavaScript,,PHP,Python,,,SQL,,,C,,,,,Linux,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Neutral,Agree,Neutral,Agree,Disagree,Disagree,OS projects,3000,Stack Overflow,
Other Asia,,30-34,40944,Software Products,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,,,,,,C++,,,,,Pascal (Delphi),Linux,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,,,Other media streaming device,,,,,,,,Other tablet,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,1,Stack Overflow,
Other Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,40-50,11,Consulting,Start Up (1-25),Server Programmer,,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,Java,JavaScript,,,,,,SQL,,C++,C,Perl,,,,Windows XP,Its a paycheck,"$100,000 - $120,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,none by name.,5000,Stack Overflow,
Mexico,,30-34,41070,Consulting,Start Up (1-25),Server Programmer,Influencer,,,,,,,Hardware,,Software,,,,"<$10,000",Enterprise,Java,JavaScript,CSS,,,,,,,,,,,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,10000,Stack Overflow,
India,,20-24,40944,Education,Student,Student,,Recommender,,,,,,,,Software,,,,"<$10,000",Other,,,,,Python,,,,,,C,Perl,,,,Linux,Love my job,"<$20,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,Netbook,,,,,,,,,$100-$250,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,,200,Stack Overflow,
Other Asia,,40-50,41070,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,Java,JavaScript,CSS,,Python,,Ruby,SQL,,,C,,,,,Windows XP,I enjoy going to work,">$140,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,Wii,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,,1000,Stack Overflow,
Other Asia,,25-29,40944,Web Services,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,Recommender,Approver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Utah,30-34,41070,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,Purchaser,,,,,,Software,,,,Don't know,SaaS,,,,,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Agree,Neutral,Neutral,Disagree,Neutral,,1000,Stack Overflow,
Other Europe,,35-39,11,Other,Mature Small Business (25-100),Server Programmer,,,,,,No Involvement,,,,,,,,,SaaS,Java,,,PHP,Python,,,SQL,,,C,Perl,,,,Windows 7,Love my job,"$120,000 - $140,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,,1000,Stack Overflow,
India,,20-24,<2,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"<$20,000",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,30-34,11,Finance / Banking,Start Up (1-25),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Enterprise,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Windows XP,Love my job,Rather not say,Yes,Yes,,,iPhone,,,,,Regular Mobile Phone,,,,,,,PS3,,,,,,,,">$3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,"Database Vendors, Server Vendors",5000,Stack Overflow,
United States of America,Connecticut,40-50,11,Consulting,Mid Sized (100-999),Other,,,,,,No Involvement,I'm a Seller,,,,,,,,Other,,,,,,,,,,,,,,,,Linux,Its a paycheck,">$140,000",No,No thank you,Don't have anything cool to put on a profile,,iPhone,Android,,,,,,,,,,,PS3,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,,500,Other Stack Exchange (please specify),firearms.se
Russia,,20-24,11,Foundation / Non-Profit,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,CSS,PHP,,,,SQL,,C++,C,Perl,HTML5,,assembly,Linux,Its a paycheck,"<$20,000",No,No thank you,Other (please specify),I live in a third-world country,,,,,,Regular Mobile Phone,,,,,,,,,,Other gaming system,,,,"nintendo ds, e-book",$251-$500,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,did i already say i was using adblock?..,Don't have an account,Stack Overflow,
Australia,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,Hardware,,Software,,,,"$41,000 - $75,000",Mobile,,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,,Mac OS X,Its a paycheck,"$80,000 - $100,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,AppleTV,,Other media streaming device,,,,Wii,,,iPad,,,">$3,000",Agree,Agree,Agree,Neutral,Agree,Neutral,mainly the stack overflow ones.,1,Stack Overflow,
India,,30-34,40944,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"<$20,000",No,Yes,,,iPhone,Android,,Windows Phone,,,,,,,,,,,,,,,,,$100-$250,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,5000,Stack Overflow,
Australia,,40-50,11,Gaming,Start Up (1-25),Server Programmer,Influencer,Recommender,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Other,,,,PHP,Python,,,SQL,,C++,C,,,,,Windows Vista,Love my job,Rather not say,Yes,No thank you,Other (please specify),"Don't need a job, don't need to establish a reputation.",iPhone,,,,,,,,,,,,,,,,,,,,"$2,001-$3,000",Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,,5000,Other Stack Exchange (please specify),skeptics
Australia,,30-34,41070,Foundation / Non-Profit,Start Up (1-25),Web Application Developer,,Recommender,,,,,I'm a Seller,Hardware,Servers,Software,,,,"<$10,000",Web Platform,Java,,,,,,Ruby,,,C++,,,,,,Mac OS X,Its a paycheck,Rather not say,Yes,Yes,,,,,,,,,,,,,,,,,,,,iPad,,,$100-$250,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Disagree,,1000,Stack Overflow,
Other Asia,,20-24,40944,Software Products,Mature Small Business (25-100),Server Programmer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,,C++,,,,,,Other,I'm not happy in my job,"<$20,000",No,Yes,,,iPhone,Android,,,,,,,,,,,,,,,,iPad,,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Nothing,1,Stack Overflow,
Other Asia,,20-24,11,Education,Student,Student,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,25-29,11,Software Products,Start Up (1-25),Desktop Application Developer,,,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",Mobile,,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,,,HTML5,,,Mac OS X,Love my job,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,Kindle,,,,,,,,,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
Russia,,20-24,41070,Web Services,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,,JavaScript,,PHP,,,,,,,,,,,,Windows 7,Love my job,"$20,000 - $40,000",No,No thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,20-24,<2,Software Products,Start Up (1-25),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,,,,,,Windows XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,25-29,<2,Software Products,Mid Sized (100-999),Other,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,SQL,,,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,Blackberry,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,200,Meta Stack Overflow,
North America (Other),,30-34,41070,Foundation / Non-Profit,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"$100,001 - $150,000",Web Platform,,,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"$80,000 - $100,000",Yes,Yes,,,,,Blackberry,,,,Kindle,,,,,,,,,,,,,Itouch,$251-$500,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Agree,,2000,Stack Overflow,
United States of America,Michigan,30-34,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Influencer,,,,,,,Hardware,,Software,,,,"<$10,000",Mobile,Java,JavaScript,CSS,,,Objective-C,,,C#,C++,,,HTML5,,,Windows 7,Love my job,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,,,,,,,PS3,Xbox,Wii,Other gaming system,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,1000,Stack Overflow,
India,,20-24,<2,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,,PHP,,,,,C#,C++,C,,,,Vb.Net,Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,,,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,,$100-$250,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Don't remember any of them right now.,1000,Stack Overflow,
Other Asia,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,JavaScript,CSS,,,,,SQL,,C++,,,,,,Windows XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,,,,,SQL,,C++,C,,HTML5,,,Windows XP,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,,1,Stack Overflow,
India,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,Recommender,,,,,,Hardware,,,,,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,SQL,C#,,C,,HTML5,,,Windows XP,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,Wii,,,,,,$251-$500,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
